Designator,Footprint,Quantity,Value,LCSC Part #
J14,PinHeader_1x03_P2.54mm_Vertical,1,LEG_PWM5,
J2,PinHeader_1x02_P2.54mm_Vertical,1,UART,
J12,PinHeader_1x03_P2.54mm_Vertical,1,LEG_PWM3,
U2,TSSOP-20_W4.4mm,1,TXB0108,
J15,PinHeader_1x03_P2.54mm_Vertical,1,LEG_PWM6,
J10,PinHeader_1x03_P2.54mm_Vertical,1,LEG_PWM1,
J11,PinHeader_1x03_P2.54mm_Vertical,1,LEG_PWM2,
J17,PinHeader_1x02_P2.54mm_Vertical,1,12V PWR,
J1,PinHeader_1x03_P2.54mm_Vertical,1,LEG_POWER1,
J16,PinHeader_1x02_P2.54mm_Vertical,1,I2C,
J4,PinHeader_1x02_P2.54mm_Vertical,1,5V PWR,
U1,Teensy40_SMT,1,Teensy4.0,
J7,PinHeader_1x03_P2.54mm_Vertical,1,LEG_POWER4,
J6,PinHeader_1x03_P2.54mm_Vertical,1,LEG_POWER3,
J9,PinHeader_1x03_P2.54mm_Vertical,1,LEG_POWER6,
J3,PinHeader_1x04_P2.54mm_Vertical,1,SPI,
J13,PinHeader_1x03_P2.54mm_Vertical,1,LEG_PWM4,
J8,PinHeader_1x03_P2.54mm_Vertical,1,LEG_POWER5,
J5,PinHeader_1x03_P2.54mm_Vertical,1,LEG_POWER2,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,VUSB->5V,
