Designator,Mid X,Mid Y,Rotation,Layer
J14,48.26,-62.484,180.0,top
J2,28.956,-46.736,90.0,top
J12,41.148,-62.469,180.0,top
U2,42.672,-50.038,180.0,top
J15,51.816,-62.484,180.0,top
J10,34.036,-62.484,180.0,top
J11,37.592,-62.484,180.0,top
J17,26.67,-68.58,0.0,top
J1,44.704,-68.595,0.0,top
J16,68.585,-37.592,-90.0,top
J4,28.956,-53.594,90.0,top
U1,44.45,-35.52,0.0,top
J7,41.148,-68.595,0.0,top
J6,33.978,-68.595,0.0,top
J9,37.592,-68.61,0.0,top
J3,61.214,-47.752,90.0,top
J13,44.704,-62.484,180.0,top
J8,30.48,-68.61,0.0,top
J5,48.26,-68.595,0.0,top
